Track,Year,Artist,Yearly Rank,Source,Prefix,CH,40,10,PK,Time
12th Street Rag,1923,Ted Lewis & His Band,152.0,m,1923_152,1.0,,,,
12th Street Rag,1917,Earl Fuller's Novelty Orchestra,87.0,m,1917_087,3.0,,,,
24/7,1999,Kevon Edmonds,60.0,a,1999_060,20.0,9.0,2.0,2.0,3:42
24/7,1989,Dino,221.0,a,1989_221,14.0,0.0,0.0,2.0,4:02
25 Or 6 To 4,1986,Chicago,235.0,a,1986_235,8.0,0.0,0.0,3.0,4:09
25 Or 6 To 4,1970,Chicago,51.0,a,1970_051,12.0,11.0,5.0,1.0,2:52
4 Minutes,2008,Madonna,21.0,b,2008_021,20.0,15.0,11.0,2.0,4:04
4 Minutes,2010,Glee Cast,429.0,h,2010_429,1.0,0.0,0.0,1.0,3:10
5 O'Clock,2011,T-Pain,51.0,h,2011_051,20.0,16.0,2.0,2.0,4:40
5 O'Clock,1996,Nonchalant,98.0,a,1996_098,20.0,6.0,0.0,3.0,4:47
96 Tears,1966,? (Question Mark) and the Mysterians,19.0,a,1966_019,15.0,12.0,9.0,1.0,2:38
96 Tears,1981,Garland Jeffreys,307.0,a,1981_307,7.0,0.0,0.0,2.0,3:06
96 Tears,1967,Big Maybelle,691.0,a,1967_691,3.0,0.0,0.0,1.0,2:38
99 Problems,2004,Jay-Z,116.0,y,2004_116,12.0,2.0,0.0,1.0,3:55
99 Problems,2012,Tony Lucca,198.0,h,2012_198,1.0,0.0,0.0,1.0,2:23
A Beautiful Lady in Blue,1936,Jan Garber & His Orchestra,17.0,m,1936_017,13.0,,,2.0,
A Beautiful Lady in Blue,1936,Ray Noble & His Orchestra,183.0,m,1936_183,3.0,,,,
A Bird in a Gilded Cage,1900,Steve Porter,3.0,m,1900_003,11.0,,,6.0,
A Bird in a Gilded Cage,1900,Jere Mahoney,6.0,m,1900_006,10.0,,,5.0,
A Bird in a Gilded Cage,1900,Harry Macdonough,13.0,m,1900_013,4.0,,,3.0,
A Broken Wing,2007,Jordin Sparks,253.0,b,2007_253,2.0,0.0,0.0,1.0,3:26
A Broken Wing,1997,Martina McBride,218.0,a,1997_218,4.0,0.0,0.0,1.0,3:34
A Bushel and a Peck,1950,Johnny Desmond,319.0,h,1950_320,1.0,,,1.0,
A Bushel and a Peck,1950,Margaret Whiting & Jimmy Wakely,63.0,h,1950_060,15.0,,,2.0,2:00
A Bushel and a Peck,1951,Andrews Sisters,205.0,h,1951_208,4.0,,,1.0,
A Bushel and a Peck,1950,Doris Day,164.0,h,1950_166,8.0,,,2.0,
A Bushel and a Peck,1950,Perry Como & Betty Hutton,33.0,h,1950_029,18.0,,,3.0,2:43
A Certain Girl,1961,Ernie K-Doe,476.0,a,1961_476,4.0,0.0,0.0,1.0,2:47
A Certain Girl,1980,Warren Zevon,321.0,a,1980_321,7.0,0.0,0.0,1.0,2:40
A Change Is Gonna Come,2009,Adam Lambert,238.0,h,2009_238,1.0,0.0,0.0,1.0,3:50
A Change Is Gonna Come,1965,Sam Cooke,266.0,a,1965_266,7.0,4.0,0.0,1.0,2:36
A Coon Band Contest,1900,Vess Ossman,17.0,m,1900_017,4.0,,,2.0,
A Coon Band Contest,1905,Arthur Pryor's Band,57.0,m,1905_057,1.0,,,,
A Cottage For Sale,1960,Little Willie John,384.0,a,1960_384,6.0,0.0,0.0,1.0,2:52
A Cottage For Sale,1945,Billy Eckstine,108.0,h,1945_108,2.0,,,,2:47
A Cottage For Sale,1930,Revelers,190.0,m,1930_190,1.0,,,,
A Dear John Letter,1953,Pat O'Day & The Four Horsemen,136.0,h,1953_139,4.0,,,,2:42
A Dear John Letter,1953,Jean Shepard & Ferlin Husky,34.0,h,1953_036,10.0,,,,2:30
A Deeper Love,1994,Aretha Franklin,225.0,a,1994_225,9.0,0.0,0.0,1.0,4:37
A Deeper Love,1992,Clivilles & Cole,194.0,a,1992_194,0.0,0.0,0.0,0.0,6:00
A Dreamer's Holiday,1950,Perry Como & Fontane Sisters,30.0,h,1950_032,19.0,,,1.0,3:17
A Dreamer's Holiday,1949,Gordon Jenkins & His Orchestra,261.0,h,1949_264,2.0,,,1.0,
A Dreamer's Holiday,1950,Ray Anthony,117.0,h,1950_119,10.0,,,1.0,
A Dreamer's Holiday,1949,Buddy Clark & Girl Friends,106.0,h,1949_109,11.0,,,1.0,2:39
A Faded Summer Love,1931,Bing Crosby,103.0,m,1931_103,3.0,,,,
A Faded Summer Love,1956,Georgie Shaw,303.0,Top,1956_303,7.0,0.0,0.0,1.0,2:55
A Faded Summer Love,1931,Paul Whiteman & His Orchestra,58.0,m,1931_058,5.0,,,,
A Fallen Star,1957,"Hilltoppers, The",311.0,Top,1957_311,10.0,0.0,0.0,1.0,2:15
A Fallen Star,1957,Jimmy Newman,185.0,DJ,1957_185,16.0,1.0,0.0,1.0,2:14
A Fallen Star,1957,Ferlin Husky,267.0,Top,1957_267,15.0,0.0,0.0,1.0,2:21
A Fallen Star,1957,Nick Noble,169.0,DJ,1957_169,1.0,1.0,0.0,1.0,1:58
A Fellow Needs a Girl,1947,Frank Sinatra,294.0,m,1947_295,1.0,,,,
A Fellow Needs a Girl,1947,Perry Como,299.0,m,1947_300,1.0,,,,
A Fellow on a Furlough,1944,Al Sack & His Orchestra,130.0,h,1944_130,1.0,,,,
A Fellow on a Furlough,1944,Phil Hanna,111.0,h,1944_111,4.0,,,,
A Fine Romance,1936,Guy Lombardo & His Royal Canadians,190.0,m,1936_190,2.0,,,,
A Fine Romance,1936,Henry King & His Orchestra,189.0,m,1936_189,2.0,,,,
A Fine Romance,1936,Billie Holiday,135.0,m,1936_135,3.0,,,,
A Fine Romance,1936,Fred Astaire,6.0,m,1936_006,12.0,,,5.0,
A Foggy Day,1938,Bob Crosby & His Orchestra,302.0,m,1938_302,2.0,,,,
A Foggy Day,1937,Fred Astaire,48.0,m,1937_048,10.0,,,,
A Gal in Calico,1947,Benny Goodman & His Orchestra (Vocal Eve Young),71.0,h,1947_073,6.0,,,,2:44
A Gal in Calico,1947,Johnny Mercer,58.0,h,1947_057,10.0,,,,2:36
A Gal in Calico,1947,Bing Crosby,95.0,h,1947_096,6.0,,,,
A Garden in the Rain,1929,Gene Austin,173.0,m,1929_173,2.0,,,,
A Garden in the Rain,1946,Perry Como,269.0,m,1946_272,2.0,,,,
A Girl Like You,1990,"Smithereens, The",206.0,a,1990_206,20.0,2.0,0.0,1.0,4:07
A Girl Like You,1967,"Young Rascals, The",99.0,a,1967_099,9.0,8.0,2.0,2.0,2:46
A Girl Like You,1995,Edwyn Collins,122.0,a,1995_122,9.0,3.0,0.0,1.0,3:55
A Girl Like You,1959,Gary Stites,456.0,a,1959_456,5.0,0.0,0.0,1.0,2:00
A Good Man is Hard to Find,1919,Ernest Hare,125.0,m,1919_125,1.0,,,,
A Good Man is Hard to Find,1919,Marion Harris,16.0,m,1919_016,9.0,,,2.0,
