Year,Yearly Rank,Source,Prefix,CH,40,10,PK,High,Verified,Artist,Artist Inverted,Featured,UnFeatured,Album,B-Side,Track,Time,Time Source,explicit,Time (Album),Artist ID,SYMBL,ReIssue,Label/Number,Media,Stereo (55-68),Pic Sleeve,Genre,Comments,Written By,Temp 1,Date Entered,Date Peaked,1st Week,2nd Week,3rd Week,4th Week,5th Week,6th Week,7th Week,8th Week,9th Week,10th Week,11th Week,12th Week,13th Week,14th Week,15th Week,16th Week,17th Week,18th Week,19th Week,20th Week,21st Week,22nd Week,23rd Week,24th Week,25th Week,26th Week,27th Week,28th Week,29th Week,30th Week,31st Week,32nd Week,33rd Week,34th Week,35th Week,36th Week,37th Week,38th Week,39th Week,40th Week,41st Week,42nd Week,43rd Week,44th Week,45th Week,46th Week,47th Week,48th Week,49th Week,50th Week,51st Week,52nd Week,53rd Week,54th Week,55th Week,56th Week,57th Week,58th Week,59th Week,60th Week,61st Week,62nd Week,63rd Week,64th Week,65th Week,66th Week,67th Week,68th Week,69th Week,70th Week,71st Week,72nd Week,73rd Week,74th Week,75th Week,76th Week,77th Week,78th Week,79th Week,80th Week,81st Week,82nd Week,83rd Week,84th Week,85th Week,86th Week,87th Week,88th Week,89th Week,90th Week,91st Week
1971,78.0,a,1971_078b,10.0,,,,-1,p,Creedence Clearwater Revival,Creedence Clearwater Revival,,,Pendulum - Fantasy 8410,,Hey Tonight,2:43,,,,,,,Fantasy 655,45,,,Rock,,John Fogerty,,1971-01-30,,B56,B32,B24,B17,B13,B11,B8,B12,B17,B24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,118.0,a,1971_118,10.0,9.0,0.0,2.0,14,x,Carole King,"King, Carole",,,Tapestry - Ode 77009,Smackwater Jack,So Far Away,3:55,45,,,,,,Ode 66019,45m,,y,Rock,,"Carole King, Gerry Goffin",781,1971-08-28,1971-10-09,71,39,32,25,20,16,14,14,16,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,118.0,a,1971_118b,9.0,,,,-1,x,Carole King,"King, Carole",,,Tapestry - Ode 77009,So Far Away,Smackwater Jack,3:39,45,,,,,,Ode 66019,45m,,y,Rock,,,,1971-09-04,,B39,B32,B25,B20,B16,B14,B14,B16,B27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,121.0,a,1971_121,9.0,7.0,0.0,1.0,14,x,Neil Diamond,"Diamond, Neil",,,Stones - Uni LP-93106,Crunchy Granola Suite,Stones,2:59,45,,,,,,Uni 5531,45s,,,Rock,"A-Side of ""Crunchy..""",Neil Diamond,662,1971-11-13,1971-12-18,76,47,23,19,15,14,25,27,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,121.0,a,1971_121b,1.0,,,,-1,x,Neil Diamond,"Diamond, Neil",,,Stones - Uni LP-93106,Stones,Crunchy Granola Suite,2:47,45,,,,,,Uni 5531,45s,,,Rock,"B-Side of ""Stones""",Neil Diamond,,1972-01-08,,B36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,161.0,a,1971_161,9.0,8.0,0.0,1.0,21,,Elvis Presley,"Presley, Elvis",,,"I'm 10,000 Years Old - ""Elvis Country""",There Goes My Everything*,I Really Don't Want To Know,2:45,,,,,,,RCA 9960 A,45,,,Rock,,Dallas Frazier,678,1970-12-26,1971-02-06,56,35,29,25,24,22,21,28,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,161.0,a,1971_161b,9.0,,,,-1,,Elvis Presley,"Presley, Elvis",,,"I'm 10,000 Years Old - ""Elvis Country""",I Really Don't Want To Know*,There Goes My Everything,2:58,,,,,,,RCA 9960 B,45,,,Rock,,,,1970-12-26,,B56,B35,B29,B25,B24,B22,B21,B28,B31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,164.0,a,1971_164,11.0,6.0,0.0,1.0,22,x,Joe Cocker,"Cocker, Joe",,,Joe Cocker - A&M 4368,Black-Eyed Blues,High Time We Went,4:27,45,,,,,,A&M 1258,45m,,,Rock,,"Joe Cocker, Chris Stainton",698,1971-05-22,1971-07-17,79,58,48,41,38,30,28,25,22,30,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,164.0,a,1971_164b,8.0,,,,-1,p,Joe Cocker,"Cocker, Joe",,,Joe Cocker - A&M 4368,High Time We Went,Black-Eyed Blues,4:02,,,,,,,A&M 1258,45,,,Rock,,,,1971-06-12,,B41,B38,B30,B28,B25,B22,B30,B44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,171.0,a,1971_171,7.0,5.0,0.0,2.0,23,p,George Harrison,"Harrison, George",,,,Deep Blue,Bangla-Desh,3:52,,,,,,,Apple 1836,45s,,y,Rock,,George Harrison,490,1971-08-14,1971-09-11,67,43,31,24,23,23,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,171.0,a,1971_171b,3.0,,,,-1,,George Harrison,"Harrison, George",,,Brainwashed,Bangla-Desh,Deep Blue,3:47,,,,,,,Apple 1836,45,,y,Rock,,,,1971-09-11,,B23,B23,B31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,215.0,a,1971_215,7.0,4.0,0.0,1.0,33,p,Elvis Presley,"Presley, Elvis",,,,Rags To Riches*,"Where Did They Go, Lord",2:25,,,,,,,RCA Victor 47-9980,45,,,Rock,,"Richard Adler, Jerry Ross",413,1971-03-13,1971-04-10,60,49,36,35,33,40,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,215.0,a,1971_215b,7.0,,,,-1,p,Elvis Presley,"Presley, Elvis",,,,"Where Did They Go, Lord*",Rags To Riches,1:54,,,,,,,RCA Victor 47-9980,45,,,Rock,,,,1971-03-13,,B60,B49,B36,B35,B33,B40,B61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,286.0,a,1971_286,9.0,0.0,0.0,2.0,46,,Lobo,Lobo,,,,I'm The Only One,She Didn't Do Magic,2:49,,,,,,,Big Tree 116 A,45,,,Rock,,Roland Kent LaVoie,389,1971-06-26,1971-07-31,81,67,57,48,48,46,46,49,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
